source_id,family,connector,title,url,persistent_id,literature_role,published_at,discovery_relevance,content_relevance,evidence_claims,reportable_claims
01KYSDNXMSSFX2R7E28QECYVQ1,academic,arxiv,"Why are Megaprojects, Including Nuclear Power Plants, Delivered Overbudget and Late? Reasons and Remedies",https://arxiv.org/abs/1802.07312,arxiv:1802.07312v1,contextual,2018-02-16T10:46:05+00:00,0.6664,1.0,3,1
01KYSDT6YXW0HBC84PM06S881R,web,agentsearch_web,Benchmarking the progress of small modular reactor designs,https://www.oecd-nea.org/jcms/pl_83649/benchmarking-the-progress-of-small-modular-reactor-designs,,contextual,,0.65,1.0,3,3
01KYSDTK9VFQPF2ME8AD4QGGEV,web,agentsearch_web,An Analysis of Small Modular Reactors (SMRs) for Commercial Electricity ...,https://cleanenergyforum.yale.edu/2026/04/26/an-analysis-of-small-modular-reactors-smrs-for-commercial-electricity-generation-in-the,,contextual,,0.65,1.0,4,4
01KYSDV04M9SXJE2A116MTKAND,web,agentsearch_web,Nuclear Small Modular Reactors (SMRs) 2023-2043 - IDTechEx,https://www.idtechex.com/en/research-report/nuclear-small-modular-reactors/934,,contextual,,0.65,1.0,4,3
01KYSDK0J7BBP7NYPNCGAXJWEG,academic,crossref,Lead-Bismuth Small Modular Reactor (SMR) Licensing Development [Abstract],https://www.osti.gov/servlets/purl/2297406,10.2172/2297406,contextual,2024-02-01T00:00:00+00:00,0.75,0.8438,0,0
01KYSDT0QEG4FW417SXNX20N1A,web,agentsearch_web,"Small Modular Reactors (SMR) 2026: AI Data Centers, LCOE & Global ...",https://energy-solutions.co/articles/sub/small-modular-reactors-smr-nuclear-future,,contextual,2026-02-01T00:00:00+00:00,0.65,1.0,17,13
01KYSDTBR0FF1SMJAPY180Y7BM,web,agentsearch_web,Small modular reactors and microreactors under development in the ...,https://www.eia.gov/todayinenergy/detail.php?id=67584,,contextual,,0.65,1.0,3,3
01KYSDTRN8MNHTTJD44AED7E3R,web,agentsearch_web,Small Modular Reactors and the Big Questions of Cost & Waste,https://cleantechnica.com/2025/09/10/small-modular-reactors-and-the-big-questions-of-cost-waste,,contextual,,0.65,1.0,6,6
01KYSDYE929HM29JY8SF58FCH6,web,local_corpus,NuScale Power | Small Modular Reactor (SMR) Nuclear Technology,https://www.nuscalepower.com/,,contextual,,0.65,1.0,0,0
