min_gain,actual_positives,quality_threshold,table_policy,fast_rate,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
0.01,85,62.0,high_tables,0.61086,33,53,52,83,0.383721,0.388235,0.385965,0.387324,0.38914
0.01,85,64.0,high_tables,0.597285,35,54,50,82,0.393258,0.411765,0.402299,0.407925,0.402715
0.01,85,66.0,high_tables,0.565611,38,58,47,78,0.395833,0.447059,0.41989,0.43578,0.434389
0.01,85,68.0,high_tables,0.565611,38,58,47,78,0.395833,0.447059,0.41989,0.43578,0.434389
0.01,85,70.0,high_tables,0.565611,38,58,47,78,0.395833,0.447059,0.41989,0.43578,0.434389
0.01,85,72.0,high_tables,0.565611,38,58,47,78,0.395833,0.447059,0.41989,0.43578,0.434389
0.01,85,74.0,high_tables,0.552036,38,61,47,75,0.383838,0.447059,0.413043,0.432802,0.447964
0.01,85,76.0,high_tables,0.547511,38,62,47,74,0.38,0.447059,0.410811,0.431818,0.452489
0.01,85,78.0,high_tables,0.533937,39,64,46,72,0.378641,0.458824,0.414894,0.440181,0.466063
0.01,85,80.0,high_tables,0.529412,40,64,45,72,0.384615,0.470588,0.42328,0.45045,0.470588
0.01,85,82.0,high_tables,0.520362,40,66,45,70,0.377358,0.470588,0.418848,0.44843,0.479638
0.01,85,84.0,high_tables,0.511312,42,66,43,70,0.388889,0.494118,0.435233,0.46875,0.488688
0.01,85,86.0,high_tables,0.479638,46,69,39,67,0.4,0.541176,0.46,0.505495,0.520362
0.01,85,88.0,high_tables,0.452489,46,75,39,61,0.380165,0.541176,0.446602,0.498915,0.547511
0.01,85,90.0,high_tables,0.411765,49,81,36,55,0.376923,0.576471,0.455814,0.521277,0.588235
0.01,85,92.0,high_tables,0.38914,51,84,34,52,0.377778,0.6,0.463636,0.536842,0.61086
0.01,85,94.0,high_tables,0.375566,52,86,33,50,0.376812,0.611765,0.466368,0.543933,0.624434
0.01,85,40.0,no_tables,0.977376,2,3,83,133,0.4,0.023529,0.044444,0.028986,0.022624
0.01,85,42.0,no_tables,0.977376,2,3,83,133,0.4,0.023529,0.044444,0.028986,0.022624
0.01,85,44.0,no_tables,0.972851,2,4,83,132,0.333333,0.023529,0.043956,0.028902,0.027149
0.01,85,46.0,no_tables,0.972851,2,4,83,132,0.333333,0.023529,0.043956,0.028902,0.027149
