policy,ortogonal_cizgi,dolu_dikdortgen,izgara_sutun,izgara_satir,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
inspector_or_v2,4,12,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,2,5,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,12,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,2,6,56,15,11,139,0.788732,0.835821,0.811594,0.825959,0.321267
inspector_or_v2,4,12,3,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,12,3,2,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,4,12,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,12,3,3,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,12,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,3,4,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,12,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,3,5,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,12,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,3,6,56,15,11,139,0.788732,0.835821,0.811594,0.825959,0.321267
inspector_or_v2,4,12,4,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,4,12,4,2,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,4,12,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,4,12,4,3,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,12,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,4,4,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,12,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,4,5,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,12,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,4,12,4,6,56,15,11,139,0.788732,0.835821,0.811594,0.825959,0.321267
inspector_or_v2,6,4,2,2,66,62,1,92,0.515625,0.985075,0.676923,0.833333,0.579186
inspector_and_v2,6,4,2,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,6,4,2,3,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,6,4,2,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,4,2,4,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,2,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,2,5,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,2,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,2,6,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,2,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,6,4,3,2,66,62,1,92,0.515625,0.985075,0.676923,0.833333,0.579186
inspector_and_v2,6,4,3,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,6,4,3,3,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,6,4,3,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,4,3,4,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,3,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,3,5,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,3,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,3,6,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,3,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,6,4,4,2,66,61,1,93,0.519685,0.985075,0.680412,0.835443,0.574661
inspector_and_v2,6,4,4,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,6,4,4,3,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,6,4,4,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,4,4,4,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,4,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,4,5,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,4,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,4,4,6,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,4,4,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,6,6,2,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,6,6,2,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,6,2,3,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,6,6,2,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,6,2,4,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,2,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,2,5,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,2,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,2,6,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,2,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,6,3,2,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,6,6,3,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,6,3,3,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,6,6,3,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,6,3,4,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,3,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,3,5,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,3,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,3,6,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,3,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,6,4,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,6,4,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,6,4,3,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,6,6,4,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,6,4,4,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,4,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,4,5,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,4,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,6,4,6,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,6,4,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,8,2,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,8,2,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,8,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,8,2,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,8,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,2,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,2,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,2,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,8,3,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,8,3,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,8,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,8,3,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,8,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,3,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,3,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,3,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,8,4,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,6,8,4,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,8,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,6,8,4,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,8,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,4,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,4,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,8,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,6,8,4,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,10,2,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,10,2,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,10,2,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,10,2,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,10,2,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,2,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,2,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,2,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,2,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,2,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,6,10,3,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,10,3,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,10,3,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,10,3,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,10,3,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,3,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,3,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,3,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,3,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,3,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,6,10,4,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,6,10,4,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,6,10,4,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,10,4,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,6,10,4,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,4,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,4,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,4,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,10,4,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,10,4,6,57,14,10,140,0.802817,0.850746,0.826087,0.840708,0.321267
inspector_or_v2,6,12,2,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,12,2,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,12,2,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,12,2,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,12,2,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,2,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,2,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,2,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,2,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,2,6,56,14,11,140,0.8,0.835821,0.817518,0.828402,0.316742
inspector_or_v2,6,12,3,2,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,6,12,3,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,12,3,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,12,3,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,12,3,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,3,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,3,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,3,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,3,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,3,6,56,14,11,140,0.8,0.835821,0.817518,0.828402,0.316742
inspector_or_v2,6,12,4,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,6,12,4,2,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,6,12,4,3,66,52,1,102,0.559322,0.985075,0.713514,0.854922,0.533937
inspector_and_v2,6,12,4,3,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,6,12,4,4,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,4,4,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,4,5,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,4,5,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,6,12,4,6,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,6,12,4,6,56,14,11,140,0.8,0.835821,0.817518,0.828402,0.316742
inspector_or_v2,8,4,2,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,8,4,2,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,8,4,2,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,8,4,2,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,8,4,2,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,2,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,2,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,2,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,2,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,2,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,8,4,3,2,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,8,4,3,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,8,4,3,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,8,4,3,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,8,4,3,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,3,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,3,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,3,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,3,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,3,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,8,4,4,2,66,59,1,95,0.528,0.985075,0.6875,0.839695,0.565611
inspector_and_v2,8,4,4,2,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,8,4,4,3,66,57,1,97,0.536585,0.985075,0.694737,0.84399,0.556561
inspector_and_v2,8,4,4,3,60,14,7,140,0.810811,0.895522,0.851064,0.877193,0.334842
inspector_or_v2,8,4,4,4,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,4,4,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,4,5,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,4,5,59,14,8,140,0.808219,0.880597,0.842857,0.865103,0.330317
inspector_or_v2,8,4,4,6,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,4,4,6,58,14,9,140,0.805556,0.865672,0.834532,0.852941,0.325792
inspector_or_v2,8,6,2,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,8,6,2,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,6,2,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,8,6,2,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,6,2,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,2,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,2,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,2,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,2,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,2,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,6,3,2,66,56,1,98,0.540984,0.985075,0.698413,0.846154,0.552036
inspector_and_v2,8,6,3,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,6,3,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,8,6,3,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,6,3,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,3,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,3,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,3,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,3,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,3,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,6,4,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,6,4,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,6,4,3,66,53,1,101,0.554622,0.985075,0.709677,0.852713,0.538462
inspector_and_v2,8,6,4,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,6,4,4,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,4,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,4,5,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,4,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,6,4,6,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,6,4,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,8,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,8,2,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,8,2,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,8,2,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,8,2,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,2,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,2,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,2,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,2,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,2,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,8,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,8,3,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,8,3,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,8,3,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,8,3,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,3,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,3,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,3,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,3,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,3,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,8,4,2,66,54,1,100,0.55,0.985075,0.705882,0.850515,0.542986
inspector_and_v2,8,8,4,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,8,4,3,66,51,1,103,0.564103,0.985075,0.717391,0.857143,0.529412
inspector_and_v2,8,8,4,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,8,4,4,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,4,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,4,5,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,4,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,8,4,6,66,49,1,105,0.573913,0.985075,0.725275,0.861619,0.520362
inspector_and_v2,8,8,4,6,58,12,9,142,0.828571,0.865672,0.846715,0.857988,0.316742
inspector_or_v2,8,10,2,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,10,2,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,10,2,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,10,2,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,10,2,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,2,4,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,2,5,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,2,5,59,12,8,142,0.830986,0.880597,0.855072,0.870206,0.321267
inspector_or_v2,8,10,2,6,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
inspector_and_v2,8,10,2,6,57,12,10,142,0.826087,0.850746,0.838235,0.845697,0.312217
inspector_or_v2,8,10,3,2,66,55,1,99,0.545455,0.985075,0.702128,0.848329,0.547511
inspector_and_v2,8,10,3,2,60,13,7,141,0.821918,0.895522,0.857143,0.879765,0.330317
inspector_or_v2,8,10,3,3,66,50,1,104,0.568966,0.985075,0.721311,0.859375,0.524887
inspector_and_v2,8,10,3,3,60,12,7,142,0.833333,0.895522,0.863309,0.882353,0.325792
inspector_or_v2,8,10,3,4,66,48,1,106,0.578947,0.985075,0.729282,0.863874,0.515837
