policy,ortogonal_cizgi,dolu_dikdortgen,izgara_sutun,izgara_satir,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
inspector_or_v2,2,6,4,4,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,4,5,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,4,6,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,2,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,2,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,2,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,2,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,2,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,3,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,3,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,3,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,3,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,3,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,4,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,4,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,4,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,4,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,4,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,4,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,4,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,10,2,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,10,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,10,2,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,10,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,10,2,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,2,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,2,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,6,57,16,10,138,0.780822,0.850746,0.814286,0.835777,0.330317
inspector_or_v2,2,10,3,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,10,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,10,3,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,10,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,10,3,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,3,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,3,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,3,6,57,16,10,138,0.780822,0.850746,0.814286,0.835777,0.330317
inspector_or_v2,2,10,4,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,10,4,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,10,4,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,10,4,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,10,4,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,4,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,4,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,4,6,57,16,10,138,0.780822,0.850746,0.814286,0.835777,0.330317
inspector_or_v2,2,12,2,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,12,2,2,59,17,8,137,0.776316,0.880597,0.825175,0.857558,0.343891
inspector_or_v2,2,12,2,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,12,2,3,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,12,2,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,2,4,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,2,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,2,5,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,2,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,2,6,56,16,11,138,0.777778,0.835821,0.805755,0.823529,0.325792
inspector_or_v2,2,12,3,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,12,3,2,59,17,8,137,0.776316,0.880597,0.825175,0.857558,0.343891
inspector_or_v2,2,12,3,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,12,3,3,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,12,3,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,3,4,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,3,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,3,5,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,3,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,3,6,56,16,11,138,0.777778,0.835821,0.805755,0.823529,0.325792
inspector_or_v2,2,12,4,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,12,4,2,59,17,8,137,0.776316,0.880597,0.825175,0.857558,0.343891
inspector_or_v2,2,12,4,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,12,4,3,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,12,4,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,4,4,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,4,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,4,5,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,12,4,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,12,4,6,56,16,11,138,0.777778,0.835821,0.805755,0.823529,0.325792
inspector_or_v2,4,4,2,2,66,63,1,91,0.511628,0.985075,0.673469,0.831234,0.58371
inspector_and_v2,4,4,2,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,4,2,3,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,4,4,2,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,4,2,4,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,2,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,4,2,5,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,2,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,4,2,6,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,2,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,4,3,2,66,63,1,91,0.511628,0.985075,0.673469,0.831234,0.58371
inspector_and_v2,4,4,3,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,4,3,3,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,4,4,3,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,4,3,4,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,3,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,4,3,5,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,3,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,4,3,6,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,3,6,58,15,9,139,0.794521,0.865672,0.828571,0.85044,0.330317
inspector_or_v2,4,4,4,2,66,62,1,92,0.515625,0.985075,0.676923,0.833333,0.579186
inspector_and_v2,4,4,4,2,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,4,4,4,3,66,60,1,94,0.52381,0.985075,0.683938,0.837563,0.570136
inspector_and_v2,4,4,4,3,60,15,7,139,0.8,0.895522,0.84507,0.874636,0.339367
inspector_or_v2,4,4,4,4,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,4,4,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
inspector_or_v2,4,4,4,5,66,58,1,96,0.532258,0.985075,0.691099,0.841837,0.561086
inspector_and_v2,4,4,4,5,59,15,8,139,0.797297,0.880597,0.836879,0.862573,0.334842
