source_id,family,connector,title,url,persistent_id,literature_role,published_at,discovery_relevance,content_relevance,evidence_claims,reportable_claims
01KYSBW3H7Y0ZC2WJE7G46QN2T,web,local_corpus,Towards Responsible Multimodal Medical Reasoning via Context-Aligned Vision-Language Models,https://arxiv.org/html/2604.08815,,contextual,,0.45,1.0,4,3
01KYSB8QSHCG9Z51FXZMJ9AW4T,academic,crossref,Multimodal Fusion Architectures for Clinical Vision Language Models,https://doi.org/10.4018/979-8-3373-7315-7.ch003,10.4018/979-8-3373-7315-7.ch003,contextual,2026-06-30T00:00:00+00:00,0.75,1.0,0,0
01KYSC5VCTR93MHC8G8V3QZKVD,academic,arxiv,When No Answer Is Correct: Diagnosing Absent Answer Detection for MLLMs in Video Understanding,https://arxiv.org/abs/2606.08239,arxiv:2606.08239v1,contextual,2026-06-06T15:51:25+00:00,0.6654,1.0,0,0
01KYSC6A3AZZ6CMK1FNN1YGFVH,academic,arxiv,Mage-VL: An Efficient Codec-Native Streaming Multimodal Foundation Model,https://arxiv.org/abs/2607.24904,arxiv:2607.24904v1,contextual,2026-07-27T17:59:53+00:00,0.6659,1.0,0,0
01KYSCA2MMYMTEP3BY38V8TJSD,academic,arxiv,Autoregressive EHR Foundation Models with Multimodal Inputs,https://arxiv.org/abs/2607.22264,arxiv:2607.22264v1,contextual,2026-07-24T12:59:20+00:00,0.6645,1.0,0,0
01KYSCAYZQRR9FXFZMVKD3DMJK,web,agentsearch_web,MedMO: Grounding and Understanding Multimodal Large Language Model for Medical Images,https://arxiv.org/html/2602.06965v1,,contextual,,0.65,1.0,7,6
01KYSCBEAW7YZHYRHMJN2DT153,academic,arxiv,Metis: Memory Foundation Model,https://arxiv.org/abs/2607.26760,arxiv:2607.26760v1,contextual,2026-07-29T10:58:44+00:00,0.6164,1.0,0,0
01KYSCC963DPQ6X1YT75GG4XQE,web,agentsearch_web,1 Multi-modal Understanding and Generation for Medical,https://arxiv.org/pdf/2105.11333,,contextual,2021-05-01T00:00:00+00:00,0.65,1.0,3,1
01KYSCECMBZ00VEC5ZHD3NDSDP,official_legal,official_registry,Clinical artificial intelligence applications of vision-language foundation models | PLOS Digital Health,https://journals.plos.org/digitalhealth/article?id=10.1371%2Fjournal.pdig.0001453,,contextual,,0.6,1.0,9,6
01KYSCR0PBFE2BGPMD97PTXF4W,academic,arxiv,MyoCardBench: A Real-World Data Benchmark for Evaluating Large Language Models in Clinically Authentic Cardiovascular Care Scenarios,https://arxiv.org/abs/2607.25186,arxiv:2607.25186v1,contextual,2026-07-28T01:39:52+00:00,0.6652,0.9062,6,1
01KYSCBXXE98QQD7RWR80JAG6Q,academic,arxiv,CHARM: A Multimodal Graph Foundation Model with Hierarchical Context Modeling for Zero-Shot Transfer,https://arxiv.org/abs/2607.26023,arxiv:2607.26023v1,contextual,2026-07-28T17:35:26+00:00,0.6161,0.75,0,0
01KYSCD45RKXWB0FZDVVNCHT6P,official_legal,official_registry,Visual-language foundation models in medical imaging: A systematic review and meta-analysis of diagnostic and analytical applications - PubMed,https://pubmed.ncbi.nlm.nih.gov/40424873,,contextual,,0.6,1.0,0,0
01KYSBVX3EB14E2KVPJHJJ3GS2,web,local_corpus,A Systematic Review and Implementation Guidelines of Multimodal Foundation Models in Medical Imaging - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12060978,,contextual,,0.6,1.0,29,21
01KYSBA4TRNNXQJ5XFHM6M9YJW,academic,arxiv,RL$^2$-VLA: Adaptive RL Latent Compositional Steering with Test-Time Scaling for Vision-Language-Action Models,https://arxiv.org/abs/2607.26991,arxiv:2607.26991v1,contextual,2026-07-29T14:49:56+00:00,0.6664,1.0,0,0
